Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2022,38,24,31,4.2,34,0,0.23,3.2,0
1/2/2022,28,13,20.5,-6.2,44,0,0.04,0.9,4
1/3/2022,22,9,15.5,-11,49,0,0,0,4
1/4/2022,35,22,28.5,2.2,36,0,0,0,3
1/5/2022,34,12,23,-3.2,42,0,T,0.1,3
1/6/2022,15,4,9.5,-16.5,55,0,T,T,3
1/7/2022,15,-1,7,-18.8,58,0,0,0,3
1/8/2022,34,13,23.5,-2.2,41,0,0.05,0,3
1/9/2022,34,9,21.5,-4.1,43,0,T,0,2
1/10/2022,16,5,10.5,-14.9,54,0,T,T,2
1/11/2022,36,4,20,-5.3,45,0,0,0,2
1/12/2022,41,31,36,10.8,29,0,T,0,2
1/13/2022,40,29,34.5,9.4,30,0,0,0,1
1/14/2022,36,26,31,6,34,0,0.01,0.1,0
1/15/2022,26,16,21,-3.9,44,0,0.02,0.2,0
1/16/2022,29,12,20.5,-4.3,44,0,0.01,0.2,0
1/17/2022,28,22,25,0.3,40,0,T,T,0
1/18/2022,44,20,32,7.4,33,0,0,0,0
1/19/2022,40,10,25,0.4,40,0,0,0,0
1/20/2022,19,6,12.5,-12.1,52,0,0,0,0
1/21/2022,25,6,15.5,-9,49,0,0,0,0
1/22/2022,33,19,26,1.5,39,0,0.02,0.2,0
1/23/2022,21,7,14,-10.5,51,0,0.24,3.5,4
1/24/2022,26,10,18,-6.5,47,0,0.14,2.2,4
1/25/2022,12,0,6,-18.6,59,0,0,0,5
1/26/2022,15,-6,4.5,-20.1,60,0,0,0,5
1/27/2022,32,14,23,-1.7,42,0,T,T,4
1/28/2022,26,11,18.5,-6.3,46,0,0.08,3.3,5
1/29/2022,22,7,14.5,-10.3,50,0,0,0,6
1/30/2022,31,11,21,-4,44,0,0,0,4
1/31/2022,33,25,29,3.9,36,0,0,0,4
2/1/2022,46,32,39,13.8,26,0,0.09,0.2,4
2/2/2022,33,16,24.5,-0.9,40,0,0.3,5.4,2
2/3/2022,24,16,20,-5.5,45,0,T,T,6
2/4/2022,24,10,17,-8.7,48,0,0.01,0.5,5
2/5/2022,20,4,12,-13.9,53,0,0,0,5
2/6/2022,33,18,25.5,-0.6,39,0,0,0,5
2/7/2022,31,18,24.5,-1.9,40,0,T,T,4
2/8/2022,38,19,28.5,1.9,36,0,0,0,3
2/9/2022,41,32,36.5,9.6,28,0,T,T,2
2/10/2022,35,27,31,3.9,34,0,0.01,0.1,1
2/11/2022,44,28,36,8.6,29,0,0.08,0.5,0
2/12/2022,28,13,20.5,-7.2,44,0,T,T,0
2/13/2022,20,12,16,-12,49,0,T,T,0
2/14/2022,26,14,20,-8.3,45,0,T,T,0
2/15/2022,45,22,33.5,4.9,31,0,0,0,0
2/16/2022,55,41,48,19.1,17,0,0.83,0,0
2/17/2022,41,16,28.5,-0.8,36,0,0.22,2.9,0
2/18/2022,31,7,19,-10.6,46,0,T,T,2
2/19/2022,25,9,17,-13,48,0,0,0,2
2/20/2022,47,17,32,1.7,33,0,0,0,1
2/21/2022,48,32,40,9.3,25,0,0,0,0
2/22/2022,44,23,33.5,2.4,31,0,0.87,T,0
2/23/2022,23,15,19,-12.4,46,0,T,0.1,0
2/24/2022,27,21,24,-7.8,41,0,0.11,1.1,0
2/25/2022,31,18,24.5,-7.7,40,0,0.07,2,3
2/26/2022,31,13,22,-10.6,43,0,0,0,1
2/27/2022,43,26,34.5,1.6,30,0,0,0,0
2/28/2022,53,27,40,6.7,25,0,0,0,0
3/1/2022,54,36,45,11.3,20,0,0,0,0
3/2/2022,58,33,45.5,11.4,19,0,T,0,0
3/3/2022,36,28,32,-2.4,33,0,0,0,0
3/4/2022,41,28,34.5,-0.3,30,0,0,0,0
3/5/2022,69,39,54,18.8,11,0,0.12,0,0
3/6/2022,59,35,47,11.5,18,0,0.02,T,0
3/7/2022,36,30,33,-2.9,32,0,0.35,2.9,1
3/8/2022,39,27,33,-3.3,32,0,0,0,1
3/9/2022,41,27,34,-2.6,31,0,0,0,0
3/10/2022,31,22,26.5,-10.5,38,0,0.02,0.6,0
3/11/2022,31,16,23.5,-13.8,41,0,0.01,0.3,1
3/12/2022,23,11,17,-20.7,48,0,0,0,0
3/13/2022,51,21,36,-2,29,0,T,T,0
3/14/2022,63,37,50,11.6,15,0,0,0,0
3/15/2022,54,36,45,6.3,20,0,0,0,0
3/16/2022,70,36,53,13.9,12,0,0,0,0
3/17/2022,73,47,60,20.6,5,0,0,0,0
3/18/2022,47,40,43.5,3.7,21,0,0.64,0,0
3/19/2022,43,37,40,-0.1,25,0,0.06,0,0
3/20/2022,63,34,48.5,8.1,16,0,0,0,0
3/21/2022,74,42,58,17.2,7,0,0,0,0
3/22/2022,56,45,50.5,9.4,14,0,0.22,0,0
3/23/2022,58,46,52,10.6,13,0,0.37,0,0
3/24/2022,46,39,42.5,0.8,22,0,0.25,0,0
3/25/2022,47,35,41,-1.1,24,0,0.01,T,0
3/26/2022,35,26,30.5,-11.9,34,0,T,T,0
3/27/2022,36,22,29,-13.7,36,0,0,0,0
3/28/2022,35,22,28.5,-14.6,36,0,0,0,0
3/29/2022,44,29,36.5,-6.9,28,0,T,0,0
3/30/2022,60,44,52,8.3,13,0,1.13,0,0
4/1/2022,46,31,38.5,-5.9,26,0,T,0.1,0
4/2/2022,42,33,37.5,-7.3,27,0,0.34,0.1,0
4/3/2022,50,33,41.5,-3.6,23,0,0.17,0,0
4/4/2022,52,40,46,0.5,19,0,0.09,0,0
4/5/2022,53,38,45.5,-0.3,19,0,0.05,0,0
4/6/2022,56,43,49.5,3.3,15,0,0.76,0,0
4/7/2022,44,38,41,-5.5,24,0,0.06,0,0
4/8/2022,41,33,37,-9.9,28,0,0.32,T,0
4/9/2022,54,32,43,-4.2,22,0,T,T,0
4/10/2022,64,32,48,0.4,17,0,0,0,0
4/11/2022,62,45,53.5,5.6,11,0,0,0,0
4/12/2022,69,40,54.5,6.2,10,0,T,0,0
4/13/2022,72,39,55.5,6.8,9,0,0.26,0,0
4/14/2022,51,35,43,-6.1,22,0,0,0,0
4/15/2022,53,40,46.5,-2.9,18,0,0.01,T,0
4/16/2022,49,32,40.5,-9.3,24,0,0,0,0
4/17/2022,43,29,36,-14.2,29,0,0.02,T,0
4/18/2022,41,33,37,-13.5,28,0,0.15,0.2,0
4/19/2022,51,36,43.5,-7.4,21,0,0,0,0
4/20/2022,52,41,46.5,-4.8,18,0,0.24,0,0
4/21/2022,68,50,59,7.3,6,0,0.05,0,0
4/22/2022,53,46,49.5,-2.5,15,0,0.8,0,0
4/23/2022,84,51,67.5,15.1,0,3,0,0,0
4/24/2022,73,54,63.5,10.7,1,0,0.41,0,0
4/25/2022,54,41,47.5,-5.7,17,0,0,0,0
4/26/2022,51,34,42.5,-11,22,0,0,0,0
4/27/2022,41,33,37,-16.9,28,0,T,0,0
4/28/2022,50,38,44,-10.3,21,0,T,0,0
4/29/2022,66,47,56.5,1.9,8,0,0.04,0,0
4/30/2022,69,51,60,5,5,0,1.54,0,0
5/1/2022,56,49,52.5,-2.9,12,0,T,0,0
5/2/2022,54,48,51,-4.7,14,0,T,0,0
5/3/2022,50,44,47,-9.1,18,0,1.31,0,0
5/4/2022,56,39,47.5,-8.9,17,0,0,0,0
5/5/2022,53,42,47.5,-9.3,17,0,0.32,0,0
5/6/2022,53,47,50,-7.2,15,0,0.29,0,0
5/7/2022,64,43,53.5,-4,11,0,0,0,0
5/8/2022,65,43,54,-3.8,11,0,0,0,0
5/9/2022,83,56,69.5,11.3,0,5,0,0,0
5/10/2022,89,69,79,20.5,0,14,0,0,0
5/11/2022,90,74,82,23.1,0,17,0,0,0
5/12/2022,91,74,82.5,23.3,0,18,0,0,0
5/13/2022,89,68,78.5,18.9,0,14,0,0,0
5/14/2022,86,67,76.5,16.6,0,12,0,0,0
5/15/2022,76,58,67,6.8,0,2,T,0,0
5/16/2022,78,54,66,5.4,0,1,0,0,0
5/17/2022,68,51,59.5,-1.4,5,0,T,0,0
5/18/2022,60,52,56,-5.2,9,0,0.29,0,0
5/19/2022,86,53,69.5,7.9,0,5,0.02,0,0
5/20/2022,86,58,72,10.1,0,7,0.46,0,0
5/21/2022,62,54,58,-4.3,7,0,0.42,0,0
5/22/2022,63,50,56.5,-6.1,8,0,0,0,0
5/23/2022,61,45,53,-9.9,12,0,0,0,0
5/24/2022,66,49,57.5,-5.8,7,0,0,0,0
5/25/2022,79,54,66.5,2.9,0,2,0.22,0,0
5/26/2022,77,64,70.5,6.6,0,6,T,0,0
5/27/2022,64,51,57.5,-6.8,7,0,0.14,0,0
5/28/2022,74,49,61.5,-3.1,3,0,0,0,0
5/29/2022,85,63,74,9,0,9,0,0,0
5/30/2022,89,70,79.5,14.2,0,15,0,0,0
5/31/2022,86,74,80,14.4,0,15,T,0,0
6/1/2022,74,59,66.5,0.5,0,2,0.18,0,0
6/2/2022,77,58,67.5,1.2,0,3,0.01,0,0
6/3/2022,81,58,69.5,2.8,0,5,0,0,0
6/4/2022,71,54,62.5,-4.5,2,0,T,0,0
6/5/2022,77,58,67.5,0.1,0,3,0.01,0,0
6/6/2022,76,57,66.5,-1.2,0,2,0.26,0,0
6/7/2022,72,56,64,-4,1,0,0.07,0,0
6/8/2022,69,56,62.5,-5.9,2,0,0.67,0,0
6/9/2022,78,53,65.5,-3.2,0,1,0,0,0
6/10/2022,78,58,68,-1.1,0,3,0.02,0,0
6/11/2022,73,59,66,-3.4,0,1,T,0,0
6/12/2022,70,58,64,-5.7,1,0,0,0,0
6/13/2022,89,57,73,3,0,8,0.88,T,0
6/14/2022,98,65,81.5,11.1,0,17,0,0,0
6/15/2022,96,76,86,15.3,0,21,0.25,0,0
6/16/2022,94,72,83,12,0,18,0.05,0,0
6/17/2022,84,64,74,2.7,0,9,0,0,0
6/18/2022,72,55,63.5,-8.1,1,0,0,0,0
6/19/2022,85,52,68.5,-3.4,0,4,0,0,0
6/20/2022,95,64,79.5,7.4,0,15,0,0,0
6/21/2022,99,73,86,13.6,0,21,0,0,0
6/22/2022,89,72,80.5,7.8,0,16,0,0,0
6/23/2022,85,65,75,2.1,0,10,0,0,0
6/24/2022,92,65,78.5,5.3,0,14,0,0,0
6/25/2022,77,67,72,-1.4,0,7,0.24,0,0
6/26/2022,80,65,72.5,-1.1,0,8,0,0,0
6/27/2022,80,60,70,-3.8,0,5,0,0,0
6/28/2022,86,61,73.5,-0.5,0,9,0,0,0
6/29/2022,88,66,77,2.8,0,12,0.02,0,0
6/30/2022,92,73,82.5,8.1,0,18,0,0,0
7/1/2022,82,67,74.5,-0.1,0,10,T,0,0
7/2/2022,87,65,76,1.3,0,11,0,0,0
7/3/2022,88,68,78,3.1,0,13,0,0,0
7/4/2022,87,69,78,3,0,13,0.69,0,0
7/5/2022,94,69,81.5,6.4,0,17,0.52,0,0
7/6/2022,80,68,74,-1.2,0,9,0.35,0,0
7/7/2022,86,68,77,1.7,0,12,0,0,0
7/8/2022,77,67,72,-3.4,0,7,T,0,0
7/9/2022,76,63,69.5,-6,0,5,0,0,0
7/10/2022,86,59,72.5,-3.1,0,8,T,0,0
7/11/2022,85,71,78,2.4,0,13,0.01,0,0
7/12/2022,86,68,77,1.3,0,12,0,0,0
7/13/2022,80,64,72,-3.7,0,7,0,0,0
7/14/2022,80,61,70.5,-5.2,0,6,0,0,0
7/15/2022,72,66,69,-6.7,0,4,0.82,0,0
7/16/2022,75,67,71,-4.7,0,6,T,0,0
7/17/2022,77,69,73,-2.7,0,8,0.02,0,0
7/18/2022,89,68,78.5,2.8,0,14,T,0,0
7/19/2022,90,71,80.5,4.8,0,16,0,0,0
7/20/2022,87,76,81.5,5.8,0,17,T,0,0
7/21/2022,92,69,80.5,4.8,0,16,0,0,0
7/22/2022,91,69,80,4.3,0,15,T,0,0
7/23/2022,86,68,77,1.4,0,12,1.77,T,0
7/24/2022,86,71,78.5,2.9,0,14,0.32,0,0
7/25/2022,76,64,70,-5.6,0,5,0,0,0
7/26/2022,82,64,73,-2.5,0,8,0,0,0
7/27/2022,83,70,76.5,1,0,12,T,0,0
7/28/2022,80,67,73.5,-1.9,0,9,T,0,0
7/29/2022,81,62,71.5,-3.9,0,7,0,0,0
7/30/2022,83,63,73,-2.3,0,8,0,0,0
7/31/2022,85,66,75.5,0.2,0,11,0,0,0
8/1/2022,85,72,78.5,3.3,0,14,T,0,0
8/2/2022,90,68,79,3.9,0,14,0,0,0
8/3/2022,91,75,83,7.9,0,18,T,0,0
8/4/2022,83,69,76,1,0,11,T,0,0
8/5/2022,88,67,77.5,2.5,0,13,T,0,0
8/6/2022,95,74,84.5,9.6,0,20,0,0,0
8/7/2022,83,75,79,4.2,0,14,0.2,0,0
8/8/2022,81,65,73,-1.7,0,8,0.24,0,0
8/9/2022,77,61,69,-5.7,0,4,0,0,0
8/10/2022,85,60,72.5,-2.1,0,8,0,0,0
8/11/2022,79,61,70,-4.5,0,5,0,0,0
8/12/2022,77,58,67.5,-6.9,0,3,0,0,0
8/13/2022,79,67,73,-1.3,0,8,T,0,0
8/14/2022,77,66,71.5,-2.7,0,7,T,0,0
8/15/2022,79,66,72.5,-1.6,0,8,0,0,0
8/16/2022,81,62,71.5,-2.5,0,7,0,0,0
8/17/2022,82,62,72,-1.9,0,7,0,0,0
8/18/2022,84,61,72.5,-1.3,0,8,0,0,0
8/19/2022,86,68,77,3.3,0,12,T,0,0
8/20/2022,77,65,71,-2.6,0,6,0.61,0,0
8/21/2022,79,66,72.5,-0.9,0,8,0.01,0,0
8/22/2022,85,64,74.5,1.2,0,10,0,0,0
8/23/2022,85,64,74.5,1.4,0,10,0,0,0
8/24/2022,85,67,76,3,0,11,0,0,0
8/25/2022,81,66,73.5,0.7,0,9,0.35,0,0
8/26/2022,78,63,70.5,-2.1,0,6,0,0,0
8/27/2022,83,59,71,-1.4,0,6,0,0,0
8/28/2022,89,68,78.5,6.3,0,14,0.38,0,0
8/29/2022,85,70,77.5,5.5,0,13,0.26,0,0
8/30/2022,80,65,72.5,0.7,0,8,0,0,0
8/31/2022,85,62,73.5,2,0,9,0,0,0
9/1/2022,88,67,77.5,6.2,0,13,0,0,0
9/2/2022,86,70,78,7,0,13,0,0,0
9/3/2022,88,68,78,7.3,0,13,T,0,0
9/4/2022,73,67,70,-0.5,0,5,T,0,0
9/5/2022,70,64,67,-3.2,0,2,0,0,0
9/6/2022,80,64,72,2.1,0,7,0,0,0
9/7/2022,81,63,72,2.5,0,7,0,0,0
9/8/2022,84,62,73,3.8,0,8,0,0,0
9/9/2022,84,62,73,4.1,0,8,0,0,0
9/10/2022,84,63,73.5,4.9,0,9,0,0,0
9/11/2022,71,58,64.5,-3.7,0,0,1.45,0,0
9/12/2022,67,54,60.5,-7.3,4,0,0.02,0,0
9/13/2022,78,60,69,1.5,0,4,0.01,0,0
9/14/2022,79,58,68.5,1.4,0,4,0,0,0
9/15/2022,81,60,70.5,3.8,0,6,0,0,0
9/16/2022,82,63,72.5,6.2,0,8,0,0,0
9/17/2022,85,68,76.5,10.6,0,12,0,0,0
9/18/2022,85,67,76,10.5,0,11,0.44,0,0
9/19/2022,78,63,70.5,5.4,0,6,0,0,0
9/20/2022,86,63,74.5,9.8,0,10,0.16,0,0
9/21/2022,85,60,72.5,8.2,0,8,0,0,0
9/22/2022,64,50,57,-6.9,8,0,0,0,0
9/23/2022,64,50,57,-6.5,8,0,T,0,0
9/24/2022,71,52,61.5,-1.6,3,0,0.09,0,0
9/25/2022,68,55,61.5,-1.1,3,0,0.03,0,0
9/26/2022,64,51,57.5,-4.7,7,0,0,0,0
9/27/2022,61,46,53.5,-8.3,11,0,0,0,0
9/28/2022,61,45,53,-8.4,12,0,0,0,0
9/29/2022,64,44,54,-7,11,0,0,0,0
9/30/2022,67,47,57,-3.5,8,0,0,0,0
10/1/2022,68,50,59,-1.1,6,0,0,0,0
10/2/2022,65,51,58,-1.7,7,0,0,0,0
10/3/2022,70,45,57.5,-1.8,7,0,0,0,0
10/4/2022,74,45,59.5,0.6,5,0,0,0,0
10/5/2022,76,48,62,3.5,3,0,T,0,0
10/6/2022,76,51,63.5,5.4,1,0,0.05,0,0
10/7/2022,57,40,48.5,-9.1,16,0,0,0,0
10/8/2022,58,38,48,-9.2,17,0,0,0,0
10/9/2022,69,42,55.5,-1.3,9,0,0,0,0
10/10/2022,73,46,59.5,3.1,5,0,0,0,0
10/11/2022,69,50,59.5,3.5,5,0,0.47,0,0
10/12/2022,65,49,57,1.4,8,0,0.25,0,0
10/13/2022,55,38,46.5,-8.7,18,0,0,0,0
10/14/2022,59,39,49,-5.8,16,0,0.04,0,0
10/15/2022,53,35,44,-10.4,21,0,0,0,0
10/16/2022,54,40,47,-7,18,0,0,0,0
10/17/2022,43,36,39.5,-14.2,25,0,T,T,0
10/18/2022,49,35,42,-11.3,23,0,0,0,0
10/19/2022,48,33,40.5,-12.4,24,0,0,0,0
10/20/2022,62,33,47.5,-5,17,0,0,0,0
10/21/2022,76,43,59.5,7.4,5,0,0,0,0
10/22/2022,79,56,67.5,15.8,0,3,0,0,0
10/23/2022,79,62,70.5,19.2,0,6,0,0,0
10/24/2022,76,63,69.5,18.6,0,5,T,0,0
10/25/2022,70,46,58,7.5,7,0,0.74,0,0
10/26/2022,54,40,47,-3,18,0,0.04,0,0
10/27/2022,54,37,45.5,-4.1,19,0,0,0,0
10/28/2022,61,44,52.5,3.3,12,0,0,0,0
10/29/2022,67,39,53,4.2,12,0,0,0,0
10/30/2022,65,45,55,6.6,10,0,0.05,0,0
10/31/2022,57,50,53.5,5.5,11,0,0.02,0,0
11/1/2022,68,45,56.5,8.9,8,0,0,0,0
