"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-01",,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-02",,,,,,,"0.80",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-04",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-06",,,,,,,"0.12",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-09",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-10",,,,,,,"0.10",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-11",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-12",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-13",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-14",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-15",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-17",,,,,,,"1.84",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-01-20",,,,,,,"0.27",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-02-02",,,,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-02-03",,,,,,,"0.09",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2022-02-04",,,,,,,"0.85",,,,,,,,,,,,,,,,,,,,,
